PlayerId;PlayerName;Nationality;Age;Height;Weigh;Foot;Value;Wage;Crossing;Finishing;Heading accuracy;Short passing;Volleys;Dribbling;Curve;FK Accuracy;Long passing;Ball control;Acceleration;Sprint speed;Agility;Reactions;Balance;Shot power;Jumping;Stamina;Strength;Long shots;Aggression;Interceptions;Att. Position;Vision;Penalties;Composure;Defensive awareness;Standing tackle;Sliding tackle;GK Diving;GK Handling;GK Kicking;GK Positioning;GK Reflexes;PlayerName_right;Position
3061;Matteo Gabbia;Italy;23;185;78;Right;€5.5M;€33K;41;22;75;60;34;53;47;28;53;62;52;53;55;71;51;59;75;77;73;41;75;73;23;41;42;59;77;77;75;11;5;12;14;14;Matteo Gabbia;Avant-centre
3412;Fabien Centonze;France;27;182;75;Right;€1.8M;€14K;69;42;61;69;49;65;65;47;66;68;75;77;71;58;75;64;77;81;75;54;71;68;66;66;50;69;66;71;69;14;12;9;12;13;Fabien Centonze;Milieu défensif
4627;Tim Lemperle;Germany;21;187;78;Right;€2.7M;€9K;64;73;61;63;55;73;53;45;55;72;77;70;67;58;63;66;76;55;69;51;49;27;69;53;55;58;30;33;30;9;10;8;7;7;;LS
5029;Niklas Tauer;Germany;22;183;75;Right;€2.3M;€8K;50;43;65;68;39;66;45;45;66;66;68;65;69;66;73;60;71;67;68;42;68;68;42;46;38;53;67;68;73;12;6;11;9;11;Niklas Tauer;Défenseur central
2373;Brian Ebenezer Adjei Brobbey;Netherlands;21;180;78;Right;€32M;€15K;35;79;70;73;67;67;49;44;53;77;82;85;65;78;86;79;90;73;92;64;70;26;83;52;66;75;28;23;24;10;11;15;8;13;;ST
2525;Daniel Seland Karlsbakk;Norway;20;185;70;Right;€975K;€1K;53;61;57;55;53;61;39;41;49;63;76;80;66;58;60;62;65;65;68;44;60;27;63;45;58;54;20;25;28;14;11;13;14;15;Daniel Seland Karlsbakk;Arrière droit
3147;Matteo Lovato;Italy;23;188;78;Right;€3.9M;€15K;40;24;64;65;32;59;38;29;54;62;67;71;56;73;49;40;76;59;78;30;67;71;30;48;45;64;75;73;71;12;10;6;6;13;Matteo Lovato;Défenseur central
5514;Jesús Vallejo Lázaro;Spain;26;184;79;Right;€4.9M;€88K;41;44;72;71;36;57;29;31;71;70;63;69;66;77;66;49;77;33;72;31;79;78;34;49;45;75;78;73;72;10;13;15;13;6;Jesús Vallejo Lázaro;Deuxième attaquant
173;Sammy Braybrooke;England;19;170;56;Right;€1.1M;€4K;51;47;51;69;50;65;62;57;67;70;64;62;64;65;64;65;58;57;55;51;51;55;54;63;48;61;58;61;58;12;11;9;6;11;Sammy Braybrooke;Avant-centre
3817;Donny van de Beek;Netherlands;26;184;74;Right;€9M;€87K;63;75;67;79;76;74;76;65;75;83;63;66;69;74;68;82;71;57;70;78;76;73;78;77;61;78;68;72;71;7;12;8;10;14;Donny van de Beek;Milieu offensif
423;Joseph Michael Allen;Wales;33;170;62;Right;€600K;€11K;66;58;52;72;54;66;66;59;66;68;64;51;81;67;88;67;55;68;50;56;70;67;67;64;60;76;70;67;63;10;13;12;6;8;Joseph Michael Allen;Milieu central
1605;Mahdi Camara;France;25;178;69;Right;€5.5M;€17K;58;59;68;77;54;73;65;47;75;76;64;55;73;75;71;67;74;79;73;55;73;75;67;72;55;73;74;76;73;6;11;7;9;7;;RCM
5946;Chukwunonso Tristan Madueke;England;21;182;73;Left;€17M;€60K;66;72;40;71;67;85;75;63;64;81;89;90;86;74;77;73;67;64;64;72;53;30;67;67;61;72;41;31;36;5;13;6;12;15;Chukwunonso Tristan Madueke;Ailier droit
6455;Andreas Kristoffer Jungdal;Denmark;21;195;82;Right;€1.1M;€550;13;7;13;32;8;7;12;12;28;17;21;25;31;53;21;43;59;18;75;5;28;11;6;32;19;27;5;12;14;67;61;57;63;67;;GK
6568;Giovanni Crociata;Italy;25;174;67;Right;€1.4M;€2K;65;59;56;74;62;70;76;75;67;72;81;80;82;64;84;71;72;70;60;69;50;59;63;66;67;59;47;56;50;15;10;6;7;9;;RCM
2397;Dávid Hancko;Slovakia;25;188;80;Left;€30.5M;€21K;65;60;81;78;42;73;60;72;76;77;77;79;74;82;55;74;85;80;84;68;75;79;69;68;69;77;80;81;83;14;12;6;7;14;;LCB
3299;Dan Assane Ndoye;Switzerland;22;184;79;Right;€4.2M;€17K;66;64;52;67;58;74;65;57;53;73;80;82;76;66;73;70;71;67;68;64;56;30;69;64;60;63;48;48;47;10;14;10;15;12;Dan Assane Ndoye;Ailier droit
4767;Oliver Hüsing;Germany;30;193;92;Right;€1M;€6K;38;27;69;61;31;45;29;30;37;57;39;61;43;64;42;55;73;58;90;25;68;66;28;45;43;67;67;67;65;16;13;14;13;11;;CB
5553;Fabio González Estupiñán;Spain;26;176;69;Right;€1.6M;€9K;45;57;63;72;41;66;50;44;68;71;65;54;65;62;77;62;70;74;67;69;61;65;55;63;48;63;66;71;68;11;7;11;7;5;Fabio González Estupiñán;Milieu droit
5913;Pedro Lomba Neto;Portugal;23;172;62;Left;€25M;€68K;76;75;49;75;68;84;68;56;62;81;89;87;86;74;86;77;71;70;63;73;55;41;75;76;62;69;32;23;17;6;13;7;12;6;;RW
6068;Sergio Reguilón Rodríguez;Spain;26;178;68;Left;€11.5M;€65K;76;53;72;76;43;77;75;43;68;76;83;81;76;73;75;69;80;72;60;58;75;73;76;73;42;74;71;75;72;11;14;9;5;12;;LWB
3162;Gian Marco Ferrari;Italy;31;189;82;Left;€1.3M;€10K;20;30;72;62;15;38;20;24;61;62;48;39;47;70;44;36;75;68;77;18;74;74;24;23;30;69;73;73;70;9;16;6;10;9;;LCB
1081;Enzo Basilio;France;28;187;75;Right;€850K;€3K;13;13;17;29;9;17;14;18;26;28;44;49;30;67;65;48;60;26;58;19;21;21;18;23;20;22;10;14;12;67;65;64;66;69;;GK
3671;Mergim Berisha;Germany;25;188;84;Right;€19M;€38K;69;80;72;75;77;75;80;77;65;78;74;73;69;78;66;83;83;75;76;75;67;32;81;73;76;75;38;32;26;10;5;10;7;6;Mergim Berisha;Avant-centre
6952;Ricardo Luís Chaby Mangas;Portugal;25;179;66;Left;€1.6M;€4K;68;44;62;65;50;70;62;40;61;69;76;77;80;67;71;46;76;83;69;47;68;63;63;60;46;65;62;62;63;7;12;12;5;14;;LWB
6839;Riccardo Zoia;Italy;21;188;82;Left;€325K;€550;59;25;50;52;22;51;46;26;33;55;63;66;53;50;47;37;62;63;69;28;48;51;42;37;39;42;48;55;53;10;11;9;13;5;Riccardo Zoia;Ailier gauche
5675;Mohamed Naser Elsayed Elneny;Egypt;30;179;72;Right;€4.7M;€71K;64;57;61;77;39;68;69;56;75;74;52;52;65;74;62;78;65;71;68;69;73;74;63;69;62;75;73;73;72;7;15;15;12;6;Mohamed Naser Elsayed Elneny;Défenseur central
3019;Amir Rrahmani;Kosovo;29;192;83;Right;€17.5M;€57K;49;43;78;69;39;59;49;41;65;66;56;69;49;79;47;60;82;70;85;66;81;82;49;48;34;70;83;83;81;12;8;13;8;7;;RCB
697;Guilherme Leal Siqueira;Brazil;18;180;70;Right;€275K;€800;48;25;49;40;24;42;40;33;35;38;70;72;68;51;68;33;69;61;64;28;50;52;45;35;38;39;54;55;54;5;6;6;9;9;Guilherme Leal Siqueira;Défenseur central
938;Sonny Degert;France;22;175;73;Right;€675K;€1K;55;60;60;64;62;58;45;46;53;59;65;63;55;59;73;66;67;65;60;57;35;12;61;54;65;56;12;28;26;14;10;7;11;12;Sonny Degert;Gardien de but
4326;Niklas Castelle;Germany;20;179;77;Right;€875K;€2K;39;62;58;60;59;69;47;34;36;63;77;67;73;55;76;60;69;52;58;58;49;13;61;51;61;51;14;18;15;14;15;6;12;14;Niklas Castelle;Milieu défensif
2534;Vasilis Cornelius Barkas;Greece;29;195;91;Left;€2.3M;€11K;14;10;14;31;8;15;14;15;31;20;44;40;45;73;29;54;65;39;70;9;36;13;12;58;20;60;17;12;13;73;71;72;71;74;;GK
4362;Ewoud Pletinckx;Belgium;22;190;85;Right;€2.3M;€5K;31;25;70;60;28;37;29;26;54;60;39;52;33;64;39;41;71;72;83;26;70;64;30;30;34;59;65;71;67;13;6;9;10;10;;CB
929;Mehdi Chahiri;France;26;180;76;Right;€1.3M;€3K;64;59;42;71;58;72;61;60;66;67;75;74;71;67;64;63;65;61;72;55;46;41;62;63;57;57;48;46;41;9;7;10;10;5;Mehdi Chahiri;Défenseur central
2629;斉藤 光毅;Japan;21;170;59;Right;€4.2M;€6K;61;69;56;67;66;75;66;66;57;73;82;77;85;65;80;62;64;71;46;65;64;18;68;64;60;68;15;26;28;11;8;13;9;10;;LM
560;Joe Williams;England;26;185;80;Right;€1.9M;€17K;60;53;54;72;62;69;58;54;71;68;61;56;63;65;67;63;62;64;62;58;84;66;50;65;59;63;68;71;71;14;9;10;10;9;;RDM
5413;Sergi Canós Tenés;Spain;26;175;66;Right;€3.3M;€25K;72;70;51;74;58;75;69;56;66;73;74;69;75;72;80;79;71;69;72;79;75;59;75;72;58;65;58;64;63;7;8;15;15;15;Sergi Canós Tenés;Ailier droit
664;Andrew Ferai Rinomhota;England;26;175;72;Right;€1.2M;€7K;56;53;63;64;57;64;57;35;57;63;76;84;66;63;83;58;82;81;80;53;78;69;57;59;45;62;65;70;72;13;8;12;13;9;Andrew Ferai Rinomhota;Milieu central
3951;Milo Horemans;Belgium;17;176;62;Right;€525K;€550;54;43;29;63;40;59;57;52;59;58;72;69;71;46;65;49;34;46;30;52;41;42;48;60;55;50;40;49;41;8;10;7;9;13;Milo Horemans;Arrière droit
5419;Jesús Vázquez Alcalde;Spain;20;172;73;Left;€3.3M;€11K;66;41;62;71;59;68;65;31;70;63;70;73;65;70;62;66;69;65;60;54;60;64;59;58;42;64;66;71;70;15;10;11;11;13;Jesús Vázquez Alcalde;Arrière droit
700;Dominic Iorfa;England;28;193;78;Right;€875K;€7K;53;45;66;60;24;61;37;24;57;56;70;85;44;60;44;47;74;54;86;26;66;65;54;56;31;58;64;65;63;13;13;8;10;8;Dominic Iorfa;Défenseur central
5651;Sam Proctor;England;16;186;77;Right;€130K;€500;13;8;12;24;9;11;14;10;20;16;29;22;36;42;35;38;35;26;43;6;24;14;6;31;19;29;8;11;11;53;47;51;44;56;Sam Proctor;Milieu central
1611;Martín Satriano;Uruguay;22;187;75;Right;€4.8M;€42K;47;77;71;67;64;72;51;53;45;76;63;65;58;68;57;69;77;66;72;68;60;18;74;58;69;68;27;34;31;11;8;13;13;7;Martín Satriano;Milieu offensif
935;Yonis Njoh;France;19;185;75;Right;€600K;€750;44;62;59;58;59;58;46;39;36;59;64;63;55;57;58;60;62;59;57;55;35;13;59;49;70;56;11;12;16;6;12;9;14;11;Yonis Njoh;Défenseur central
4079;Ross James Sykes;England;24;196;73;Right;€1.6M;€5K;48;53;72;57;30;56;51;28;61;58;35;44;33;63;38;55;74;72;85;31;72;67;56;51;39;61;69;66;63;12;9;15;14;7;;LCB
3829;Simon Simoni;Albania;18;192;81;Right;€500K;€500;18;8;12;22;8;12;13;9;23;22;27;31;29;42;24;41;54;18;63;6;21;8;6;35;11;26;7;12;9;64;57;54;58;61;Simon Simoni;Gardien de but
7250;Marc Bola;England;25;185;78;Left;€1.2M;€5K;60;33;58;60;26;64;46;26;49;61;73;74;64;62;67;39;74;79;71;31;58;65;51;44;36;51;63;66;62;10;16;6;16;16;Marc Bola;Gardien de but
1468;Mokrane Bentoumi;France;18;169;60;Left;€525K;€1K;56;53;42;56;55;65;62;56;52;64;68;62;75;54;89;60;36;43;33;52;48;29;52;55;52;60;42;39;38;10;13;7;8;14;Mokrane Bentoumi;Ailier gauche
5776;Kouassi Ryan Sessegnon;England;23;178;70;Left;€8M;€49K;75;66;56;76;55;76;74;31;65;77;80;77;77;73;75;67;71;69;60;55;67;71;77;75;61;76;73;73;69;6;11;7;8;7;Kouassi Ryan Sessegnon;Milieu gauche
1084;Pierre Lemonnier;France;29;184;81;Right;€600K;€2K;29;25;66;58;26;47;29;23;45;52;50;56;55;62;61;38;70;79;75;22;63;65;25;27;40;60;64;67;62;11;11;13;6;6;;LCB
3588;Tan Kenneth Jerico Schmidt;Germany;21;187;81;Left;€2.1M;€6K;34;22;62;63;26;44;33;32;57;57;73;79;65;61;54;35;78;62;75;22;63;67;26;42;34;54;66;70;65;7;14;9;6;15;Tan Kenneth Jerico Schmidt;Défenseur central
5404;Cenk Özkacar;Türkiye;22;187;85;Left;€3.5M;€16K;42;26;71;65;31;58;33;33;62;64;61;60;62;68;55;64;82;68;83;26;70;71;44;59;45;64;72;70;70;11;8;10;9;5;;LCB
6431;Filippo Bandinelli;Italy;28;180;70;Left;€1.9M;€4K;66;68;67;72;75;70;64;66;70;73;72;69;72;71;80;76;74;74;67;75;68;71;70;70;61;72;70;69;67;10;9;7;15;7;;CM
4499;David Savic;Germany;18;182;74;Right;€600K;€1K;57;39;49;56;30;54;46;49;50;56;68;68;64;56;61;44;57;64;59;35;54;57;49;47;55;56;57;57;55;6;13;11;10;13;David Savic;Milieu central
5511;Víctor David Díaz Miguel;Spain;35;184;72;Right;€1.1M;€12K;77;56;75;72;35;62;65;51;55;69;68;68;55;73;52;67;80;80;74;54;74;74;62;65;42;64;73;76;76;10;12;5;9;8;Víctor David Díaz Miguel;Ailier gauche
6705;Eduardo Gabriel Aquino Cossa;Brazil;26;173;72;Right;€23M;€18K;74;76;42;73;69;85;61;48;66;83;85;86;86;75;78;59;61;84;52;59;51;72;74;76;65;71;70;57;48;14;6;13;10;9;;RM
2132;José Alejandro Martín Valerón;Spain;25;182;78;Right;€1.6M;€4K;45;35;71;72;23;29;35;48;59;67;49;39;52;62;53;48;72;51;71;64;64;64;15;28;42;54;65;74;70;7;12;5;8;5;José Alejandro Martín Valerón;Milieu défensif
5288;Alejandro Centelles Plaza;Spain;23;185;73;Left;€4.5M;€14K;70;49;64;67;51;70;70;45;69;73;72;75;65;72;55;64;74;85;69;45;71;67;59;62;48;72;66;70;66;14;9;12;10;8;;LB
1706;Omar El Hilali;Morocco;19;183;75;Right;€3.3M;€3K;65;35;58;65;30;65;58;30;60;66;81;78;75;66;67;55;75;75;67;40;66;67;52;58;40;58;65;68;65;10;13;10;13;14;;RB
2013;José Antonio Ferrández Pomares;Spain;33;175;68;Right;€1.2M;€8K;68;73;65;74;59;75;66;55;62;72;81;82;78;70;78;70;63;65;37;56;53;66;70;59;64;62;61;72;68;7;11;6;12;12;José Antonio Ferrández Pomares;Défenseur central
4231;Boli Bolingoli-Mbombo;Belgium;28;181;74;Left;€925K;€5K;67;54;59;63;46;69;58;38;54;65;77;80;79;62;77;63;77;75;73;57;62;57;64;59;65;65;57;64;63;7;8;16;13;14;Boli Bolingoli-Mbombo;Arrière gauche
6315;Francesco Di Tacchio;Italy;33;186;81;Left;€625K;€2K;35;34;59;70;31;59;47;52;68;67;47;51;49;65;61;72;72;90;90;67;64;65;62;63;53;59;55;68;60;15;5;7;15;7;;LCM
6708;Francisco Evanilson de Lima Barbosa;Brazil;23;181;77;Right;€27M;€16K;45;81;75;74;76;78;67;46;62;79;75;74;67;81;69;76;86;75;81;70;45;16;84;67;69;77;22;20;19;13;11;6;14;7;;LS
5142;Alejandro Berenguer Remiro;Spain;27;175;73;Right;€22.5M;€33K;76;77;58;77;70;83;76;75;70;81;86;83;87;79;88;76;73;80;59;72;76;65;80;77;69;83;65;65;64;14;16;8;6;13;Alejandro Berenguer Remiro;Gardien de but
2501;Isaac Babadi;Netherlands;18;178;68;Right;€2.2M;€2K;46;52;42;62;55;72;62;41;59;74;78;75;83;69;62;54;48;50;41;44;49;42;58;68;52;69;38;52;36;12;11;10;7;8;Isaac Babadi;Milieu offensif
1593;Khalil Fayad;France;19;172;61;Right;€2.4M;€5K;57;58;44;71;48;73;66;46;69;73;68;62;76;66;85;58;41;46;35;56;41;58;65;69;52;68;51;59;47;12;8;8;10;15;Khalil Fayad;Milieu central
5529;Álvaro Valles Rosa;Spain;25;192;82;Right;€26.5M;€20K;16;6;10;55;8;12;15;8;52;14;40;42;38;78;35;59;63;40;65;8;22;15;9;67;14;45;9;10;9;80;79;79;81;83;;GK
789;Joseph Romeric Lopy;Senegal;31;181;68;Right;€975K;€4K;55;68;65;66;42;62;47;53;67;67;74;71;77;67;59;62;81;91;80;62;66;69;63;63;56;66;61;67;64;15;16;12;11;10;;LCM
676;Marvin Nicholas Johnson;England;32;178;74;Left;€600K;€6K;69;60;45;63;54;65;67;56;60;64;75;76;76;63;69;68;65;70;69;58;61;60;62;62;53;63;62;61;59;14;14;11;10;7;;LB
7616;Bünyamin Balcı;Türkiye;23;173;69;Right;€1.7M;€7K;64;34;52;65;45;67;45;46;64;64;72;76;73;64;81;63;62;78;55;42;63;65;57;53;55;55;63;67;65;6;10;14;14;11;;RB
694;Lee Andrew Gregory;England;34;188;80;Right;€350K;€6K;43;67;66;63;66;60;56;61;46;66;50;53;62;66;56;70;72;71;80;63;71;21;67;63;70;68;24;23;29;7;13;15;8;15;Lee Andrew Gregory;Milieu offensif
4749;Luc Castaignos;Netherlands;30;187;78;Right;€850K;€5K;50;67;65;65;70;68;63;42;58;67;62;67;66;65;66;68;74;50;75;64;73;36;64;65;60;63;33;24;14;16;13;15;14;10;Luc Castaignos;Avant-centre
1980;Paulino de la Fuente Gómez;Spain;26;184;77;Left;€2.2M;€7K;70;71;39;66;54;74;69;68;65;73;76;74;79;65;66;68;52;65;47;70;57;35;67;66;71;66;36;25;30;10;10;11;9;13;Paulino de la Fuente Gómez;Ailier droit
4505;室屋 成;Japan;29;176;70;Right;€1.4M;€15K;67;60;44;65;25;66;47;35;63;65;84;80;80;67;81;68;67;81;69;60;64;66;66;48;37;56;64;65;62;8;10;14;14;8;;RWB
6726;Bernardo Pereira Folha;Portugal;21;177;73;Right;€1.3M;€2K;65;46;38;70;59;65;64;58;69;69;67;60;62;60;70;60;51;61;56;63;55;57;58;63;60;66;56;58;54;7;12;8;10;13;Bernardo Pereira Folha;Défenseur central
5901;James Clayton Hill;England;21;184;73;Right;€2.9M;€14K;51;34;68;66;29;56;39;32;65;62;65;76;57;67;65;51;75;65;75;40;70;71;48;51;33;65;68;69;68;7;15;5;8;12;James Clayton Hill;Milieu défensif
6845;Luca Magnino;Italy;25;185;82;Right;€950K;€1K;54;48;64;67;42;60;49;50;64;64;71;76;62;66;69;67;74;66;70;55;75;61;49;63;51;58;62;61;60;11;8;9;8;11;;RCM
1331;Alexis Adelin Beka Beka;France;22;178;75;Right;€3.4M;€16K;59;50;52;70;36;72;53;44;71;70;77;72;71;69;78;68;71;76;69;68;70;68;65;56;44;67;69;70;66;11;10;14;10;9;Alexis Adelin Beka Beka;Ailier gauche
554;Cheikh Fall;Senegal;19;180;68;Right;€400K;€900;42;49;55;64;37;64;45;36;59;61;66;58;60;51;58;54;64;53;62;45;51;47;53;55;45;57;36;49;43;8;15;12;10;10;Cheikh Fall;Ailier gauche
3963;Benedikt Gimber;Germany;26;187;84;Left;€2.6M;€19K;47;44;70;69;28;51;30;29;67;60;65;65;65;70;63;62;78;76;79;54;81;71;39;61;28;64;73;74;69;7;16;15;7;13;;LCB
4722;Jannik Huth;Germany;29;183;80;Right;€1.1M;€9K;17;16;10;37;15;22;22;15;30;24;59;60;50;68;44;56;66;32;63;14;28;25;20;51;24;41;22;14;11;71;65;75;67;73;Jannik Huth;Gardien de but
7357;Erdem Çetinkaya;Türkiye;22;177;69;Left;€900K;€3K;53;61;56;59;50;72;52;48;48;64;73;71;69;51;68;67;63;70;53;52;36;18;54;51;60;56;27;33;29;10;11;7;15;11;Erdem Çetinkaya;Ailier gauche
5812;Jamie Miley;England;19;175;60;Right;€375K;€7K;46;36;52;62;43;60;45;49;60;60;56;57;57;55;74;55;51;45;53;40;60;54;39;56;57;50;52;57;54;9;8;12;9;10;Jamie Miley;Milieu central
