PlayerId;Age;Height;Weigh;Value;Wage;Crossing;Finishing;Heading accuracy;Short passing;Volleys;Dribbling;Curve;FK Accuracy;Long passing;Ball control;Acceleration;Sprint speed;Agility;Reactions;Balance;Shot power;Jumping;Stamina;Strength;Long shots;Aggression;Interceptions;Att. Position;Vision;Penalties;Composure;Defensive awareness;Standing tackle;Sliding tackle;GK Diving;GK Handling;GK Kicking;GK Positioning;GK Reflexes;NationalityId;PositionId;FootId
3061;23;185;78;5500000;33000;41;22;75;60;34;53;47;28;53;62;52;53;55;71;51;59;75;77;73;41;75;73;23;41;42;59;77;77;75;11;5;12;14;14;108;26;1
3412;27;182;75;1800000;14000;69;42;61;69;49;65;65;47;66;68;75;77;71;58;75;64;77;81;75;54;71;68;66;66;50;69;66;71;69;14;12;9;12;13;95;26;1
4627;21;187;78;2700000;9000;64;73;61;63;55;73;53;45;55;72;77;70;67;58;63;66;76;55;69;51;49;27;69;53;55;58;30;33;30;9;10;8;7;7;93;14;1
5029;22;183;75;2300000;8000;50;43;65;68;39;66;45;45;66;66;68;65;69;66;73;60;71;67;68;42;68;68;42;46;38;53;67;68;73;12;6;11;9;11;93;26;1
2373;21;180;78;32000000;15000;35;79;70;73;67;67;49;44;53;77;82;85;65;78;86;79;90;73;92;64;70;26;83;52;66;75;28;23;24;10;11;15;8;13;64;25;1
2525;20;185;70;975000;1000;53;61;57;55;53;61;39;41;49;63;76;80;66;58;60;62;65;65;68;44;60;27;63;45;58;54;20;25;28;14;11;13;14;15;102;26;1
3147;23;188;78;3900000;15000;40;24;64;65;32;59;38;29;54;62;67;71;56;73;49;40;76;59;78;30;67;71;30;48;45;64;75;73;71;12;10;6;6;13;108;26;1
5514;26;184;79;4900000;88000;41;44;72;71;36;57;29;31;71;70;63;69;66;77;66;49;77;33;72;31;79;78;34;49;45;75;78;73;72;10;13;15;13;6;9;26;1
173;19;170;56;1100000;4000;51;47;51;69;50;65;62;57;67;70;64;62;64;65;64;65;58;57;55;51;51;55;54;63;48;61;58;61;58;12;11;9;6;11;60;16;1
3817;26;184;74;9000000;87000;63;75;67;79;76;74;76;65;75;83;63;66;69;74;68;82;71;57;70;78;76;73;78;77;61;78;68;72;71;7;12;8;10;14;64;26;1
